method,stages,bytes_in_flight_kib,campaign_1_gbps,campaign_2_gbps,campaign_3_gbps,mean_gbps,stdev_gbps,cv_percent,tma_to_ldgsts_ratio,dram_read_ratio
ldgsts,2,16,3128.142786,3126.444145,3127.270645,3127.285859,0.849423,0.027162,0.971426,1.000019
tma,2,16,3037.633457,3037.496429,3038.653693,3037.927860,0.632313,0.020814,0.971426,1.000020
ldgsts,2,32,5169.323879,5171.086525,5171.508988,5170.639798,1.159029,0.022416,0.977257,
tma,2,32,5053.274564,5050.998616,5054.864542,5053.045908,1.943080,0.038454,0.977257,
ldgsts,2,64,6953.911400,6951.531742,6952.160137,6952.534426,1.233192,0.017737,1.000306,
tma,2,64,6953.192651,6954.540247,6956.248104,6954.660334,1.531262,0.022018,1.000306,
ldgsts,4,16,3233.954276,3234.906442,3232.594762,3233.818493,1.161807,0.035927,0.739848,
tma,4,16,2392.224508,2392.660380,2392.718937,2392.534609,0.270146,0.011291,0.739848,
ldgsts,4,32,5136.106013,5136.571564,5133.143026,5135.273534,1.859700,0.036214,0.910213,1.000025
tma,4,32,4673.279278,4675.491477,4673.806803,4674.192519,1.155439,0.024720,0.910213,1.000059
ldgsts,4,64,7028.773620,7025.058908,7024.233876,7026.022135,2.418300,0.034419,0.991382,
tma,4,64,6963.986790,6966.284768,6966.149764,6965.473774,1.289534,0.018513,0.991382,
ldgsts,8,16,1999.133623,1997.553547,1999.586647,1998.757939,1.067346,0.053400,0.601637,
tma,8,16,1202.432309,1202.487383,1202.657960,1202.525884,0.117649,0.009784,0.601637,
ldgsts,8,32,3674.013009,3674.288785,3675.518133,3674.606642,0.801327,0.021807,0.653480,
tma,8,32,2399.566262,2400.063729,2404.212105,2401.280699,2.550828,0.106228,0.653480,
ldgsts,8,64,6698.472853,6695.764741,6700.140092,6698.125896,2.208214,0.032968,0.716737,1.000003
tma,8,64,4801.861810,4799.827866,4800.684015,4800.791230,1.021202,0.021272,0.716737,1.000012
