method,n,depth,cta_group,campaign_1_flops_cycle_sm,campaign_2_flops_cycle_sm,campaign_3_flops_cycle_sm,mean_flops_cycle_sm,stdev_flops_cycle_sm,cv_percent,mean_flops_per_cycle,two_sm_to_one_sm_ratio,estimated_tflops_per_sm
umma_1sm,64,4,1,2350.729940,2350.729940,2350.729940,2350.729940,0.000000,0.000000,2350.729940,0.957094,
umma_2sm,64,4,2,1124.934289,1124.934289,1124.934289,1124.934289,0.000000,0.000000,2249.868579,0.957094,
umma_1sm,64,16,1,3714.811049,3714.811049,3714.811049,3714.811049,0.000000,0.000000,3714.811049,1.546551,
umma_2sm,64,16,2,2872.572890,2872.572890,2872.572890,2872.572890,0.000000,0.000000,5745.145779,1.546551,
umma_1sm,64,64,1,4932.951883,4932.951883,4932.951883,4932.951883,0.000000,0.000000,4932.951883,1.898908,
umma_2sm,64,64,2,4683.610116,4683.610116,4683.610116,4683.610116,0.000000,0.000000,9367.220232,1.898908,
umma_1sm,64,256,1,5318.902913,5318.902913,5318.902913,5318.902913,0.000000,0.000000,5318.902913,2.097578,
umma_2sm,64,256,2,5578.407250,5578.407250,5578.407250,5578.407250,0.000000,0.000000,11156.814500,2.097578,
umma_1sm,128,4,1,3477.443029,3477.443029,3477.443029,3477.443029,0.000000,0.000000,3477.443029,1.221863,
umma_2sm,128,4,2,2124.479176,2124.479176,2124.479176,2124.479176,0.000000,0.000000,4248.958351,1.221863,
umma_1sm,128,16,1,6641.417176,6641.417176,6641.417176,6641.417176,0.000000,0.000000,6641.417176,1.435212,
umma_2sm,128,16,2,4765.921473,4765.921473,4765.921473,4765.921473,0.000000,0.000000,9531.842945,1.435212,
umma_1sm,128,64,1,7695.882387,7695.882387,7695.882387,7695.882387,0.000000,0.000000,7695.882387,1.803493,
umma_2sm,128,64,2,6939.735274,6939.735274,6939.735274,6939.735274,0.000000,0.000000,13879.470548,1.803493,
umma_1sm,128,256,1,8062.069011,8062.069011,8062.069011,8062.069011,0.000000,0.000000,8062.069011,1.944512,
umma_2sm,128,256,2,7838.393442,7838.393442,7838.393442,7838.393442,0.000000,0.000000,15676.786884,1.944512,
umma_1sm,256,4,1,5599.311150,5599.311150,5599.311150,5599.311150,0.000000,0.000000,5599.311150,1.214924,
umma_2sm,256,4,2,3401.369856,3401.369856,3401.369856,3401.369856,0.000000,0.000000,6802.739713,1.214924,
umma_1sm,256,16,1,7007.807191,7007.807191,7007.807191,7007.807191,0.000000,0.000000,7007.807191,1.719796,
umma_2sm,256,16,2,6026.000148,6026.000148,6026.000148,6026.000148,0.000000,0.000000,12052.000296,1.719796,
umma_1sm,256,64,1,7838.857187,7838.857187,7838.857187,7838.857187,0.000000,0.000000,7838.857187,1.915624,
umma_2sm,256,64,2,7508.149798,7508.149798,7508.149798,7508.149797,0.000000,0.000000,15016.299595,1.915624,
umma_1sm,256,256,1,8100.789237,8100.789237,8100.789237,8100.789237,0.000000,0.000000,8100.789237,1.982936,16.352431
umma_2sm,256,256,2,8031.672445,8031.672445,8031.672445,8031.672445,0.000000,0.000000,16063.344890,1.982936,
