shape_index,shape_id,m,n,k,l,variant,method,campaign_1_tflops,campaign_2_tflops,campaign_3_tflops,mean_tflops,stdev_tflops,cv_percent,mean_kernel_time_ms,ratio_vs_cublaslt
0,4096x4096x4096x1,4096,4096,4096,1,nonpersistent_1cta,cutedsl,952.215360,952.574352,950.382223,951.723978,1.175776,0.123542,0.144411,0.541123
0,4096x4096x4096x1,4096,4096,4096,1,persistent_1cta,cutedsl,1459.880136,1457.601091,1454.195836,1457.225687,2.860684,0.196310,0.094316,0.828538
0,4096x4096x4096x1,4096,4096,4096,1,persistent_2cta,cutedsl,1664.909590,1663.813129,1686.086136,1671.602952,12.554781,0.751062,0.082223,0.950436
0,4096x4096x4096x1,4096,4096,4096,1,heuristic_first_supported,cublaslt,1755.986417,1764.934119,1755.484022,1758.801519,5.316924,0.302304,0.078144,1.000000
1,8192x8192x8192x1,8192,8192,8192,1,nonpersistent_1cta,cutedsl,893.649205,895.185789,894.777832,894.537609,0.795960,0.088980,1.229140,0.424010
1,8192x8192x8192x1,8192,8192,8192,1,persistent_1cta,cutedsl,1243.705944,1241.535345,1245.008294,1243.416528,1.754470,0.141101,0.884268,0.589379
1,8192x8192x8192x1,8192,8192,8192,1,persistent_2cta,cutedsl,1443.274125,1449.264319,1449.319339,1447.285928,3.474432,0.240065,0.759709,0.686012
1,8192x8192x8192x1,8192,8192,8192,1,heuristic_first_supported,cublaslt,2106.783179,2111.534727,2110.808330,2109.708745,2.559515,0.121321,0.521168,1.000000
2,16384x512x4096x1,16384,512,4096,1,nonpersistent_1cta,cutedsl,606.068788,607.388744,605.556087,606.337873,0.945496,0.155936,0.113335,0.422589
2,16384x512x4096x1,16384,512,4096,1,persistent_1cta,cutedsl,783.010134,775.600845,779.938840,779.516607,3.722647,0.477558,0.088158,0.543287
2,16384x512x4096x1,16384,512,4096,1,persistent_2cta,cutedsl,816.223338,811.903059,816.533706,814.886701,2.588565,0.317660,0.084331,0.567941
2,16384x512x4096x1,16384,512,4096,1,heuristic_first_supported,cublaslt,1440.200988,1436.347836,1427.943139,1434.830654,6.268181,0.436859,0.047894,1.000000
3,32768x512x4096x1,32768,512,4096,1,nonpersistent_1cta,cutedsl,621.216614,621.027954,621.756188,621.333585,0.377946,0.060828,0.221200,0.411902
3,32768x512x4096x1,32768,512,4096,1,persistent_1cta,cutedsl,738.766590,740.498830,738.969965,739.411795,0.946876,0.128058,0.185876,0.490179
3,32768x512x4096x1,32768,512,4096,1,persistent_2cta,cutedsl,757.596708,757.957704,759.096381,758.216931,0.782722,0.103232,0.181266,0.502646
3,32768x512x4096x1,32768,512,4096,1,heuristic_first_supported,cublaslt,1511.726948,1508.647053,1504.999411,1508.457804,3.367759,0.223258,0.091113,1.000000
4,512x16384x4096x1,512,16384,4096,1,nonpersistent_1cta,cutedsl,759.687151,760.467298,756.955804,759.036751,1.843885,0.242924,0.090535,0.506480
4,512x16384x4096x1,512,16384,4096,1,persistent_1cta,cutedsl,1105.127397,1104.615879,1106.436989,1105.393422,0.939248,0.084970,0.062167,0.737585
4,512x16384x4096x1,512,16384,4096,1,persistent_2cta,cutedsl,1268.598535,1271.151706,1271.001202,1270.250481,1.432605,0.112781,0.054099,0.847585
4,512x16384x4096x1,512,16384,4096,1,heuristic_first_supported,cublaslt,1488.001419,1498.906724,1509.230238,1498.712794,10.615738,0.708324,0.045854,1.000000
