method,stages,bytes_in_flight_kib,campaign_1_gbps,campaign_2_gbps,campaign_3_gbps,mean_gbps,stdev_gbps,cv_percent,tma_to_ldgsts_ratio,dram_read_ratio
ldgsts,2,16,3104.868032,3106.686803,3108.256489,3106.603774,1.695754,0.054585,0.971302,1.000036
tma,2,16,3018.395432,3018.082237,3015.867272,3017.448314,1.378148,0.045673,0.971302,1.000036
ldgsts,2,32,5148.435608,5149.765399,5147.721794,5148.640934,1.037159,0.020144,0.976558,
tma,2,32,5027.835428,5026.708158,5029.291303,5027.944963,1.295051,0.025757,0.976558,
ldgsts,2,64,6954.944605,6951.980922,6948.435903,6951.787144,3.258675,0.046875,1.000403,
tma,2,64,6954.046258,6956.247677,6953.461995,6954.585310,1.468992,0.021123,1.000403,
ldgsts,4,16,3216.303444,3216.380332,3216.755083,3216.479619,0.241636,0.007512,0.744849,
tma,4,16,2396.159043,2395.492581,2395.721822,2395.791148,0.338597,0.014133,0.744849,
ldgsts,4,32,5113.978258,5112.351382,5114.877377,5113.735673,1.280351,0.025037,0.912706,1.000008
tma,4,32,4667.080244,4666.351950,4668.577791,4667.336662,1.134859,0.024315,0.912706,1.000005
ldgsts,4,64,7026.664249,7023.546629,7023.271809,7024.494229,1.884309,0.026825,0.991423,
tma,4,64,6966.014441,6965.428490,6961.285404,6964.242778,2.577864,0.037016,0.991423,
ldgsts,8,16,2002.144939,2002.245476,2002.204527,2002.198314,0.050556,0.002525,0.600641,
tma,8,16,1202.653916,1202.502113,1202.649872,1202.601967,0.086500,0.007193,0.600641,
ldgsts,8,32,3674.614873,3674.426687,3674.100818,3674.380793,0.260082,0.007078,0.654122,
tma,8,32,2403.546512,2403.423144,2403.514369,2403.494675,0.063999,0.002663,0.654122,
ldgsts,8,64,6699.014433,6699.222829,6697.264490,6698.500584,1.075548,0.016057,0.716661,1.000044
tma,8,64,4797.047699,4802.439996,4802.182882,4800.556859,3.041739,0.063362,0.716661,1.000029
