schema_version,section,shape_index,shape_id,m,n,k,l,candidate_index,variant,method,metric,unit,evidence_class,campaign_count,campaign_1_value,campaign_2_value,campaign_3_value,mean,median,stdev_sample,cross_campaign_cv_percent,minimum,maximum,cross_campaign_cv_review_flag,notes
gb300.analysis.v1,candidate,1,4096x4096x4096x1,4096,4096,4096,1,1,nonpersistent_1cta,cutedsl,kernel_time_ms,ms,measured_source_observation,3,0.145443,0.144429,0.144515,0.144796,0.144515,0.000562,0.388308,0.144429,0.145443,ok,measured_campaign_level_input
gb300.analysis.v1,candidate,1,4096x4096x4096x1,4096,4096,4096,1,1,nonpersistent_1cta,cutedsl,tflops,TFLOP/s,within_campaign_derived_estimate,3,944.966506,951.603503,951.034557,949.201522,951.034557,3.678647,0.387552,944.966506,951.603503,ok,derived_within_campaign_value
gb300.analysis.v1,candidate,1,4096x4096x4096x1,4096,4096,4096,1,1,nonpersistent_1cta,cutedsl,throughput_ratio_vs_cublaslt,ratio,within_campaign_derived_estimate,3,0.539504,0.542407,0.546135,0.542682,0.542407,0.003324,0.612505,0.539504,0.546135,ok,derived_within_campaign_ratio_never_recomputed_from_aggregates
gb300.analysis.v1,candidate,1,4096x4096x4096x1,4096,4096,4096,1,1,nonpersistent_1cta,cutedsl,gap_to_cublaslt_pct,percent,within_campaign_derived_estimate,3,46.049591,45.759294,45.386508,45.731798,45.759294,0.332396,not_applicable,45.386508,46.049591,not_applicable,signed_metric_cv_not_computed_negative_gaps_never_clamped
gb300.analysis.v1,candidate,1,4096x4096x4096x1,4096,4096,4096,1,2,persistent_1cta,cutedsl,kernel_time_ms,ms,measured_source_observation,3,0.094282,0.094490,0.095085,0.094619,0.094490,0.000417,0.440454,0.094282,0.095085,ok,measured_campaign_level_input
gb300.analysis.v1,candidate,1,4096x4096x4096x1,4096,4096,4096,1,2,persistent_1cta,cutedsl,tflops,TFLOP/s,within_campaign_derived_estimate,3,1457.749452,1454.540563,1445.435610,1452.575208,1454.540563,6.387851,0.439760,1445.435610,1457.749452,ok,derived_within_campaign_value
gb300.analysis.v1,candidate,1,4096x4096x4096x1,4096,4096,4096,1,2,persistent_1cta,cutedsl,throughput_ratio_vs_cublaslt,ratio,within_campaign_derived_estimate,3,0.832264,0.829078,0.830046,0.830463,0.830046,0.001634,0.196712,0.829078,0.832264,ok,derived_within_campaign_ratio_never_recomputed_from_aggregates
gb300.analysis.v1,candidate,1,4096x4096x4096x1,4096,4096,4096,1,2,persistent_1cta,cutedsl,gap_to_cublaslt_pct,percent,within_campaign_derived_estimate,3,16.773580,17.092249,16.995355,16.953728,16.995355,0.163362,not_applicable,16.773580,17.092249,not_applicable,signed_metric_cv_not_computed_negative_gaps_never_clamped
gb300.analysis.v1,candidate,1,4096x4096x4096x1,4096,4096,4096,1,3,persistent_2cta,cutedsl,kernel_time_ms,ms,measured_source_observation,3,0.083149,0.082771,0.083984,0.083301,0.083149,0.000621,0.745105,0.082771,0.083984,ok,measured_campaign_level_input
gb300.analysis.v1,candidate,1,4096x4096x4096x1,4096,4096,4096,1,3,persistent_2cta,cutedsl,tflops,TFLOP/s,within_campaign_derived_estimate,3,1652.927658,1660.468298,1636.489740,1649.961899,1652.927658,12.261305,0.743127,1636.489740,1660.468298,ok,derived_within_campaign_value
