schema_version,section,method,stages,bytes_in_flight_kib,metric,unit,evidence_class,campaign_count,campaign_1_value,campaign_2_value,campaign_3_value,mean,median,stdev_sample,cross_campaign_cv_percent,minimum,maximum,cross_campaign_cv_review_flag,notes
gb300.analysis.v1,configuration,ldgsts,2,16,median_effective_gbps,GB/s,within_campaign_derived_estimate,3,3130.225531,3130.225531,3127.788262,3129.413108,3130.225531,1.407158,0.044966,3127.788262,3130.225531,ok,campaign_level_median_of_that_campaign_own_timing_derived_effective_transfer_rates
gb300.analysis.v1,configuration,ldgsts,2,16,within_campaign_sample_count,not_applicable,source_diagnostic,3,30,30,30,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,preserved_source_diagnostic
gb300.analysis.v1,configuration,ldgsts,2,16,within_campaign_cv_percent,not_applicable,source_diagnostic,3,0.105094,0.124942,0.124289,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,preserved_source_diagnostic
gb300.analysis.v1,configuration,ldgsts,2,16,within_campaign_stability_review,not_applicable,source_diagnostic,3,ok,ok,ok,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,preserved_source_diagnostic
gb300.analysis.v1,configuration,ldgsts,2,16,within_campaign_iqr_flagged_count,not_applicable,source_diagnostic,3,0,0,0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,preserved_source_diagnostic
gb300.analysis.v1,configuration,ldgsts,2,16,ncu_coverage,not_applicable,source_diagnostic,3,ncu_profiled,ncu_profiled,ncu_profiled,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,preserved_source_diagnostic
gb300.analysis.v1,configuration,tma,2,16,median_effective_gbps,GB/s,within_campaign_derived_estimate,3,3038.593758,3037.342102,3038.765269,3038.233710,3038.593758,0.776902,0.025571,3037.342102,3038.765269,ok,campaign_level_median_of_that_campaign_own_timing_derived_effective_transfer_rates
gb300.analysis.v1,configuration,tma,2,16,within_campaign_sample_count,not_applicable,source_diagnostic,3,30,30,30,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,preserved_source_diagnostic
gb300.analysis.v1,configuration,tma,2,16,within_campaign_cv_percent,not_applicable,source_diagnostic,3,0.070644,0.080304,0.070364,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,preserved_source_diagnostic
gb300.analysis.v1,configuration,tma,2,16,within_campaign_stability_review,not_applicable,source_diagnostic,3,ok,ok,ok,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,preserved_source_diagnostic
gb300.analysis.v1,configuration,tma,2,16,within_campaign_iqr_flagged_count,not_applicable,source_diagnostic,3,0,0,2,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,preserved_source_diagnostic
gb300.analysis.v1,configuration,tma,2,16,ncu_coverage,not_applicable,source_diagnostic,3,ncu_profiled,ncu_profiled,ncu_profiled,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,preserved_source_diagnostic
