shape_index,shape_id,m,n,k,l,precision,implementation,comparison,input_dtype,scale_dtype,scale_block_elements,scale_layout,accumulator_dtype,output_dtype,alpha,beta,kernel,repetition_1_tflops,repetition_2_tflops,repetition_3_tflops,mean_tflops,stdev_tflops,cv_percent,mean_kernel_time_us,throughput_ratio_vs_cublaslt,validation,bit_exact_outputs
0,4096x4096x4096x1,4096,4096,4096,1,bf16,cutedsl,matched,BFloat16,,,,Float32,Float32,1 (identity epilogue),0 (C not read),PersistentDenseGemmKernel (dense_gemm_persistent.py); MMA tile 256x128; cluster 2x1; TMA store,1687.344762,1682.124034,1677.721642,1682.396813,4.817355,0.286339,81.692799,0.952021,PASS,True
0,4096x4096x4096x1,4096,4096,4096,1,bf16,cublaslt,matched,CUDA_R_16BF,,,,CUBLAS_COMPUTE_32F,CUDA_R_32F,1.0,0.0,nvjet_sm103_tss_128x256_64x6_2x2_2cta_h_bz_TNT (algorithm 66; tile 23; stages 35; cluster 6),1767.149015,1767.185311,1767.221744,1767.185356,0.036365,0.002058,77.772800,1.000000,PASS,True
0,4096x4096x4096x1,4096,4096,4096,1,fp8,cutedsl,matched,Float8E4M3FN,,,,Float32,Float32,1 (identity epilogue),0 (C not read),PersistentDenseGemmKernel (dense_gemm_persistent.py); MMA tile 256x128; cluster 2x1; TMA store,2933.019705,2930.518111,2940.650682,2934.729499,5.278238,0.179854,46.831999,0.919121,PASS,True
0,4096x4096x4096x1,4096,4096,4096,1,fp8,cublaslt,matched,CUDA_R_8F_E4M3,,,,CUBLAS_COMPUTE_32F,CUDA_R_32F,1.0,0.0,nvjet_sm103_qqsss_128x256_128x6_2x2_2cta_h_bz_TNT (algorithm 66; tile 23; stages 36; cluster 6),3188.187871,3199.588340,3191.148940,3192.975050,5.915546,0.185268,43.044266,1.000000,PASS,True
0,4096x4096x4096x1,4096,4096,4096,1,nvfp4,cutedsl,matched,Float4E2M1FN,Float8E4M3FN,16,32x4x4 atoms; 128 rows x 4 blocks per 512 B; K blocks fastest,Float32,Float32,1 (identity epilogue),0 (C not read),Sm103BlockScaledPersistentDenseGemmKernel (sm103_dense_blockscaled_gemm_persistent.py); MMA tile 256x128; cluster 2x1; TMA store,4049.181783,3988.825010,4048.991229,4028.999341,34.792122,0.863542,34.114133,0.842592,PASS,True
0,4096x4096x4096x1,4096,4096,4096,1,nvfp4,cublaslt,matched,CUDA_R_4F_E2M1,CUDA_R_8F_UE4M3 (VEC16_UE4M3),16,documented 1D block-scaling layout; 128 rows x 4 blocks per 512 B; K blocks fastest,CUBLAS_COMPUTE_32F,CUDA_R_32F,1.0,0.0,nvjet_sm103_oosss_128x256_256x5_2x2_2cta_v_bz_Avec16UE4M3_Bvec16UE4M3_TNT (algorithm 66; tile 23; stages 37; cluster 6),4792.420662,4776.166197,4776.431840,4781.672900,9.308783,0.194676,28.742932,1.000000,PASS,True
1,8192x8192x8192x1,8192,8192,8192,1,bf16,cutedsl,matched,BFloat16,,,,Float32,Float32,1 (identity epilogue),0 (C not read),PersistentDenseGemmKernel (dense_gemm_persistent.py); MMA tile 256x128; cluster 2x1; TMA store,1459.185775,1460.972622,1458.789281,1459.649226,1.163114,0.079685,753.271453,0.694813,PASS,True
1,8192x8192x8192x1,8192,8192,8192,1,bf16,cublaslt,matched,CUDA_R_16BF,,,,CUBLAS_COMPUTE_32F,CUDA_R_32F,1.0,0.0,nvjet_sm103_tss_128x256_64x6_2x1_2cta_v_bz_TNT (algorithm 66; tile 23; stages 35; cluster 3),2101.879368,2100.228535,2100.228535,2100.778813,0.953109,0.045369,523.382934,1.000000,PASS,True
1,8192x8192x8192x1,8192,8192,8192,1,fp8,cutedsl,matched,Float8E4M3FN,,,,Float32,Float32,1 (identity epilogue),0 (C not read),PersistentDenseGemmKernel (dense_gemm_persistent.py); MMA tile 256x128; cluster 2x1; TMA store,3130.870412,3124.521554,3128.162685,3127.851551,3.185844,0.101854,351.523201,0.793220,PASS,True
1,8192x8192x8192x1,8192,8192,8192,1,fp8,cublaslt,matched,CUDA_R_8F_E4M3,,,,CUBLAS_COMPUTE_32F,CUDA_R_32F,1.0,0.0,nvjet_sm103_qqsss_128x256_128x6_2x1_2cta_v_bz_TNT (algorithm 66; tile 23; stages 36; cluster 3),3941.783466,3949.032112,3938.891453,3943.235677,5.223976,0.132479,278.835201,1.000000,PASS,True
1,8192x8192x8192x1,8192,8192,8192,1,nvfp4,cutedsl,matched,Float4E2M1FN,Float8E4M3FN,16,32x4x4 atoms; 128 rows x 4 blocks per 512 B; K blocks fastest,Float32,Float32,1 (identity epilogue),0 (C not read),Sm103BlockScaledPersistentDenseGemmKernel (sm103_dense_blockscaled_gemm_persistent.py); MMA tile 256x128; cluster 2x1; TMA store,5544.486555,5570.644976,5589.494257,5568.208596,22.602550,0.405921,197.464534,0.737255,PASS,True
1,8192x8192x8192x1,8192,8192,8192,1,nvfp4,cublaslt,matched,CUDA_R_4F_E2M1,CUDA_R_8F_UE4M3 (VEC16_UE4M3),16,documented 1D block-scaling layout; 128 rows x 4 blocks per 512 B; K blocks fastest,CUBLAS_COMPUTE_32F,CUDA_R_32F,1.0,0.0,cutlass3x_sm103_bstensorop_s256x256x96gemm_block_scaled_ue4m3xe2m1_ue4m3xe2m1_f32_f32_f32_256x256x768_0_tnn_align32_o_vs16_2sm_bias_bf16_relu (algorithm 71; tile 23; stages 38; cluster 4),7556.240879,7545.371876,7556.240879,7552.617878,6.275222,0.083087,145.580268,1.000000,PASS,True
2,32768x512x4096x1,32768,512,4096,1,bf16,cutedsl,matched,BFloat16,,,,Float32,Float32,1 (identity epilogue),0 (C not read),PersistentDenseGemmKernel (dense_gemm_persistent.py); MMA tile 256x128; cluster 2x1; TMA store,756.795760,756.795760,756.355974,756.649165,0.253910,0.033557,181.641599,0.499024,PASS,True
2,32768x512x4096x1,32768,512,4096,1,bf16,cublaslt,matched,CUDA_R_16BF,,,,CUBLAS_COMPUTE_32F,CUDA_R_32F,1.0,0.0,nvjet_sm103_tss_256x128_64x5_2x2_2cta_h_bz_TNT (algorithm 66; tile 24; stages 35; cluster 6),1514.018367,1519.992665,1514.765906,1516.258980,3.254998,0.214673,90.643734,1.000000,PASS,True
2,32768x512x4096x1,32768,512,4096,1,fp8,cutedsl,matched,Float8E4M3FN,,,,Float32,Float32,1 (identity epilogue),0 (C not read),PersistentDenseGemmKernel (dense_gemm_persistent.py); MMA tile 256x128; cluster 2x1; TMA store,1718.502503,1724.055615,1709.780014,1717.446044,7.196199,0.419006,80.026132,0.643257,PASS,True
2,32768x512x4096x1,32768,512,4096,1,fp8,cublaslt,matched,CUDA_R_8F_E4M3,,,,CUBLAS_COMPUTE_32F,CUDA_R_32F,1.0,0.0,nvjet_sm103_qqsss_256x128_128x5_2x2_2cta_h_bz_TNT (algorithm 66; tile 24; stages 36; cluster 6),2670.750292,2668.344555,2670.667392,2669.920746,1.365651,0.051150,51.476800,1.000000,PASS,True
2,32768x512x4096x1,32768,512,4096,1,nvfp4,cutedsl,matched,Float4E2M1FN,Float8E4M3FN,16,32x4x4 atoms; 128 rows x 4 blocks per 512 B; K blocks fastest,Float32,Float32,1 (identity epilogue),0 (C not read),Sm103BlockScaledPersistentDenseGemmKernel (sm103_dense_blockscaled_gemm_persistent.py); MMA tile 256x128; cluster 2x1; TMA store,2985.933959,2985.933959,3012.743701,2994.870540,15.478612,0.516837,45.892265,0.730301,PASS,True
2,32768x512x4096x1,32768,512,4096,1,nvfp4,cublaslt,matched,CUDA_R_4F_E2M1,CUDA_R_8F_UE4M3 (VEC16_UE4M3),16,documented 1D block-scaling layout; 128 rows x 4 blocks per 512 B; K blocks fastest,CUBLAS_COMPUTE_32F,CUDA_R_32F,1.0,0.0,nvjet_sm103_oosss_128x256_256x5_2x2_2cta_v_bz_Avec16UE4M3_Bvec16UE4M3_TNT (algorithm 66; tile 23; stages 37; cluster 6),4092.978731,4110.803153,4098.837794,4100.873226,9.084863,0.221535,33.514668,1.000000,PASS,True
