schema_version,section,method,scale,metric,unit,evidence_class,campaign_count,campaign_1_value,campaign_2_value,campaign_3_value,mean,median,stdev_sample,cross_campaign_cv_percent,minimum,maximum,cross_campaign_cv_review_flag,notes
gb300.umma-scaling-analysis.v1,configuration,umma_1sm,isolated,median_total_tflops,TFLOP/s,cuda_event_measured,3,15.404533,15.524858,15.527342,15.485578,15.524858,0.070198,0.4533,15.404533,15.527342,False,median_of_repetitions_then_descriptive_statistics_across_three_campaigns
gb300.umma-scaling-analysis.v1,configuration,umma_1sm,isolated,median_kernel_time_ms,ms,cuda_event_measured,3,17.425744,17.290687,17.287920,17.334784,17.290687,0.078786,0.4545,17.287920,17.425744,False,median_of_repetitions_then_descriptive_statistics_across_three_campaigns
gb300.umma-scaling-analysis.v1,configuration,umma_1sm,isolated,median_tflops_per_planned_active_sm,TFLOP/s/SM,cuda_event_measured,3,15.404533,15.524858,15.527342,15.485578,15.524858,0.070198,0.4533,15.404533,15.527342,False,median_of_repetitions_then_descriptive_statistics_across_three_campaigns
gb300.umma-scaling-analysis.v1,configuration,umma_1sm,isolated,median_tflops_per_evidenced_active_sm,TFLOP/s/SM,cuda_event_measured,3,15.404533,15.524858,15.527342,15.485578,15.524858,0.070198,0.4533,15.404533,15.527342,False,median_of_repetitions_then_descriptive_statistics_across_three_campaigns
gb300.umma-scaling-analysis.v1,configuration,umma_1sm,isolated,within_campaign_sample_count,not_applicable,diagnostic,3,30,30,30,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,configuration,umma_1sm,isolated,within_campaign_total_tflops_cv_percent,not_applicable,diagnostic,3,1.326717,1.010587,0.934649,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_1sm,isolated,grid_blocks,not_applicable,diagnostic,3,1,1,1,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_1sm,isolated,cluster_size,not_applicable,diagnostic,3,1,1,1,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_1sm,isolated,work_unit_count,not_applicable,diagnostic,3,1,1,1,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_1sm,isolated,planned_active_sm_count,not_applicable,diagnostic,3,1,1,1,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_1sm,isolated,unused_sm_count,not_applicable,diagnostic,3,147,147,147,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_1sm,isolated,coverage_status,not_applicable,diagnostic,3,isolated_unit,isolated_unit,isolated_unit,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_1sm,isolated,max_active_clusters,not_applicable,diagnostic,3,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,configuration,umma_2sm,isolated,median_total_tflops,TFLOP/s,cuda_event_measured,3,30.548534,30.723593,30.787244,30.686457,30.723593,0.123612,0.4028,30.548534,30.787244,False,median_of_repetitions_then_descriptive_statistics_across_three_campaigns
