method,n,depth,cta_group,campaign_1_flops_cycle_sm,campaign_2_flops_cycle_sm,campaign_3_flops_cycle_sm,mean_flops_cycle_sm,stdev_flops_cycle_sm,cv_percent,mean_flops_per_cycle,two_sm_to_one_sm_ratio,estimated_tflops_per_sm
umma_1sm,64,4,1,2350.729940,2350.729940,2350.729940,2350.729940,0.000000,0.000000,2350.729940,0.942923,
umma_2sm,64,4,2,1108.278989,1108.278989,1108.278989,1108.278989,0.000000,0.000000,2216.557978,0.942923,
umma_1sm,64,16,1,3714.811049,3714.811049,3714.811049,3714.811049,0.000000,0.000000,3714.811049,1.531855,
umma_2sm,64,16,2,2845.276092,2845.276092,2845.276092,2845.276092,0.000000,0.000000,5690.552184,1.531855,
umma_1sm,64,64,1,4932.951883,4932.951883,4932.951883,4932.951883,0.000000,0.000000,4932.951883,1.891511,
umma_2sm,64,64,2,4665.366006,4665.366006,4665.366006,4665.366006,0.000000,0.000000,9330.732011,1.891511,
umma_1sm,64,256,1,5318.902913,5318.902913,5318.902913,5318.902913,0.000000,0.000000,5318.902913,2.095139,
umma_2sm,64,256,2,5571.919244,5571.919244,5571.919244,5571.919244,0.000000,0.000000,11143.838487,2.095139,
umma_1sm,128,4,1,3477.443029,3477.443029,3477.443029,3477.443029,0.000000,0.000000,3477.443029,1.204767,
umma_2sm,128,4,2,2094.753507,2094.753507,2094.753507,2094.753507,0.000000,0.000000,4189.507014,1.204767,
umma_1sm,128,16,1,6641.417176,6641.417176,6641.417176,6641.417176,0.000000,0.000000,6641.417176,1.423880,
umma_2sm,128,16,2,4728.291203,4728.291203,4728.291203,4728.291203,0.000000,0.000000,9456.582406,1.423880,
umma_1sm,128,64,1,7695.882387,7695.882387,7695.882387,7695.882387,0.000000,0.000000,7695.882387,1.798283,
umma_2sm,128,64,2,6919.687985,6919.687985,6919.687985,6919.687985,0.000000,0.000000,13839.375970,1.798283,
umma_1sm,128,256,1,8062.069011,8062.069011,8062.069011,8062.069011,0.000000,0.000000,8062.069011,1.942922,
umma_2sm,128,256,2,7831.986287,7831.986287,7831.986287,7831.986287,0.000000,0.000000,15663.972574,1.942922,
umma_1sm,256,4,1,5599.311150,5599.311150,5599.311150,5599.311150,0.000000,0.000000,5599.311150,1.201278,
umma_2sm,256,4,2,3363.165027,3363.165027,3363.165027,3363.165027,0.000000,0.000000,6726.330054,1.201278,
umma_1sm,256,16,1,7007.807191,7007.807191,7007.807191,7007.807191,0.000000,0.000000,7007.807191,1.711187,
umma_2sm,256,16,2,5995.832955,5995.832955,5995.832955,5995.832955,0.000000,0.000000,11991.665910,1.711187,
umma_1sm,256,64,1,7838.857187,7838.857187,7838.857187,7838.857187,0.000000,0.000000,7838.857187,1.912626,
umma_2sm,256,64,2,7496.401309,7496.401309,7496.401309,7496.401309,0.000000,0.000000,14992.802618,1.912626,
umma_1sm,256,256,1,8100.787281,8100.787281,8100.787281,8100.787281,0.000000,0.000000,8100.787281,1.982106,16.373102
umma_2sm,256,256,2,8028.307590,8028.307590,8028.307590,8028.307590,0.000000,0.000000,16056.615181,1.982106,
